scheme,split,train_n,test_n,lam,n_nonzero,n_test,accuracy,majority_baseline,lift_over_majority,roc_auc,pr_auc,pr_auc_baseline,balanced_accuracy,sensitivity,specificity,precision,f1_converter,TP,FP,FN,TN,acc_high_conf,acc_low_conf,frac_high_conf,confidently_wrong
holdout,1,390,168,12.0,33.0,168,0.7381,0.5833,0.1548,0.8009,0.6903,0.4167,0.7184,0.6,0.8367,0.7241,0.6562,42,16,28,82,0.9231,0.6822,0.2321,3
holdout,2,390,168,16.0,29.0,168,0.6964,0.5833,0.1131,0.7866,0.6546,0.4167,0.6704,0.5143,0.8265,0.6792,0.5854,36,17,34,81,0.9032,0.6496,0.1845,3
holdout,3,390,168,24.0,11.0,168,0.7083,0.5833,0.125,0.8322,0.7186,0.4167,0.6663,0.4143,0.9184,0.7838,0.5421,29,8,41,90,1.0,0.6975,0.0357,0
holdout,4,390,168,8.0,57.0,168,0.744,0.5833,0.1607,0.7964,0.7054,0.4167,0.7316,0.6571,0.8061,0.7077,0.6815,46,19,24,79,0.8689,0.6729,0.3631,8
holdout,5,390,168,8.0,64.0,168,0.7143,0.5833,0.131,0.7567,0.6421,0.4167,0.6959,0.5857,0.8061,0.6833,0.6308,41,19,29,79,0.7945,0.6526,0.4345,15
holdout,6,390,168,12.0,37.0,168,0.7083,0.5833,0.125,0.7794,0.6807,0.4167,0.6969,0.6286,0.7653,0.6567,0.6423,44,23,26,75,0.8478,0.6557,0.2738,7
holdout,7,390,168,8.0,58.0,168,0.6845,0.5833,0.1012,0.7609,0.6401,0.4167,0.6684,0.5714,0.7653,0.6349,0.6015,40,23,30,75,0.8776,0.605,0.2917,6
holdout,8,390,168,12.0,29.0,168,0.75,0.5833,0.1667,0.8109,0.7264,0.4167,0.7327,0.6286,0.8367,0.7333,0.6769,44,16,26,82,0.9375,0.7059,0.1905,2
holdout,9,390,168,16.0,21.0,168,0.7202,0.5833,0.1369,0.8224,0.7581,0.4167,0.6969,0.5571,0.8367,0.7091,0.624,39,16,31,82,0.931,0.6763,0.1726,2
holdout,10,390,168,8.0,51.0,168,0.6429,0.5833,0.0595,0.6927,0.5646,0.4167,0.6388,0.6143,0.6633,0.5658,0.589,43,33,27,65,0.7792,0.5275,0.4583,17
holdout,11,390,168,32.0,8.0,168,0.6012,0.5833,0.0179,0.7013,0.6016,0.4167,0.5684,0.3714,0.7653,0.5306,0.437,26,23,44,75,1.0,0.5939,0.0179,0
holdout,12,390,168,8.0,61.0,168,0.7321,0.5833,0.1488,0.8012,0.6786,0.4167,0.7112,0.5857,0.8367,0.7193,0.6457,41,16,29,82,0.8594,0.6538,0.381,9
holdout,13,390,168,12.0,31.0,168,0.6964,0.5833,0.1131,0.7608,0.6149,0.4167,0.6806,0.5857,0.7755,0.6508,0.6165,41,22,29,76,0.8529,0.6567,0.2024,5
holdout,14,390,168,32.0,5.0,168,0.6667,0.5833,0.0833,0.7455,0.6351,0.4167,0.6327,0.4286,0.8367,0.6522,0.5172,30,16,40,82,0.9091,0.6497,0.0655,1
holdout,15,390,168,8.0,55.0,168,0.7083,0.5833,0.125,0.7859,0.6877,0.4167,0.6867,0.5571,0.8163,0.6842,0.6142,39,18,31,80,0.8689,0.6168,0.3631,8
holdout,16,390,168,32.0,8.0,168,0.6786,0.5833,0.0952,0.7672,0.6353,0.4167,0.6469,0.4571,0.8367,0.6667,0.5424,32,16,38,82,0.6667,0.6788,0.0179,1
holdout,17,390,168,24.0,10.0,168,0.7321,0.5833,0.1488,0.8017,0.7592,0.4167,0.7153,0.6143,0.8163,0.7049,0.6565,43,18,27,80,1.0,0.7205,0.0417,0
holdout,18,390,168,24.0,11.0,168,0.7083,0.5833,0.125,0.7838,0.6857,0.4167,0.6786,0.5,0.8571,0.7143,0.5882,35,14,35,84,1.0,0.6859,0.0714,0
holdout,19,390,168,12.0,32.0,168,0.7857,0.5833,0.2024,0.8517,0.7982,0.4167,0.7633,0.6286,0.898,0.8148,0.7097,44,10,26,88,0.9211,0.7462,0.2262,3
holdout,20,390,168,24.0,15.0,168,0.6726,0.5833,0.0893,0.7647,0.6241,0.4167,0.6459,0.4857,0.8061,0.6415,0.5528,34,19,36,79,0.8947,0.6443,0.1131,2
kfold,1,446,558,8.0,,558,0.7168,0.5806,0.1362,0.7872,0.6672,0.4194,0.6992,0.5897,0.8086,0.69,0.6359,138,62,96,262,0.8698,0.6504,0.3029,22
kfold,2,446,558,8.0,,558,0.7222,0.5806,0.1416,0.788,0.6741,0.4194,0.7086,0.6239,0.7932,0.6854,0.6532,146,67,88,257,0.8706,0.6572,0.3047,22
kfold,3,446,558,12.0,,558,0.7097,0.5806,0.129,0.782,0.6657,0.4194,0.6895,0.5641,0.8148,0.6875,0.6197,132,60,102,264,0.8968,0.6377,0.2778,16
kfold,4,446,558,8.0,,558,0.7186,0.5806,0.138,0.7841,0.6473,0.4194,0.7037,0.6111,0.7963,0.6842,0.6456,143,66,91,258,0.8447,0.6675,0.2885,25
kfold,5,446,558,8.0,,558,0.69,0.5806,0.1093,0.7506,0.6301,0.4194,0.6725,0.5641,0.7809,0.6502,0.6041,132,71,102,253,0.8688,0.6181,0.2867,21
